p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
19,0,6.7694445,2,.5,6,14,-.85835588,,.083333336,.33329782,3.8277512,.071428575,.035714287,-.027777784,.14285713,0
19,1,6.7694445,2,.5,5,14,-.85835588,228,.25,.60000002,9.0909119,.10714286,.071428575,.027777778,.22619045,0
19,2,6.7694445,2,.61538464,8,14,-.85835588,211.35294,.25,.71426612,-15.837105,,,,,
20,0,6.2805557,1,.2857143,,22,-8.2543736,215,.25,.71426612,12.918655,0,0,-.027777776,.26190475,.061111111
20,1,6.2805557,1,.35714287,4,22,-8.2543736,224,0,0,-1.4354019,0,0,.05555556,-.09523809,0
20,2,6.2805557,1,.35714287,5,22,-8.2543736,92,-.16666667,-.59997439,7.6923065,,,,,
21,0,9.6694441,2,.42857143,5,26,-4.5734401,284,-.083333336,-.33333334,3.8277512,.035714287,.035714287,0,-.083333313,0
21,1,9.6694441,2,.5,6,26,-4.5734401,279,-.083333328,-.19999999,9.0909119,.10714286,.10714286,-.027777778,.21428573,-.1
21,2,9.6694441,2,.42857143,6,26,-4.5734401,287.33334,0,0,-5.8823547,,,,,
22,0,12.127778,2,.42857143,6,23,-7.4147215,204,0,0,0,.035714287,0,0,.1785714,.050000001
22,1,12.127778,2,.5,6,23,-7.4147215,196,.083333336,.33333334,9.0909119,.071428575,.071428575,-.05555556,.15476191,0
22,2,12.127778,2,.5,6,23,-7.4147215,180,0,0,15.384613,,,,,
23,0,8.2111111,1,.42857143,5,6,-16.829351,226,.16666666,.5,9.0909119,.14285715,0,.055555556,.26190472,.15000001
23,1,8.2111111,1,,,6,-16.829351,,,,,,,,,
23,2,8.2111111,1,,,6,-16.829351,,,,,,,,,
24,0,9.8555555,2,.5714286,7,3,-12.151393,182,-.25,-.71426612,9.0909119,.071428575,0,0,.30952382,-.050000001
24,1,9.8555555,2,,,3,-12.151393,,,,,,,,,
24,2,9.8555555,2,,,3,-12.151393,,,,,,,,,
25,0,8.9250002,1,,,31,-6.4640536,265,-.58333331,-.53846151,10,.071428575,.10714286,.1388889,.20238096,.59442729
25,1,8.9250002,1,.35714287,4,31,-6.4640536,221.61539,.083333343,.090909101,26.794258,.2857143,.4642857,.27777776,.011904776,.28947368
25,2,8.9250002,1,.42857143,5,31,-6.4640536,277.55554,-.083333336,-.33329782,1.8099518,,,,,
26,0,7.7777777,2,.35714287,5,12,-16.455393,276,.16666666,.24999999,0,.035714287,.10714286,.1388889,.35714287,.052631557
26,1,7.7777777,2,,,12,-16.455393,,,,,,,,,
26,2,7.7777777,2,,,12,-16.455393,,,,,,,,,
27,0,12.613889,2,.5,6,20,-5.9761033,212.07692,.24999999,.4285714,3.8277512,0,.035714287,-.027777778,.16666669,0
27,1,12.613889,2,.5,7,20,-5.9761033,269.15384,.083333336,.33333334,12.918655,0,0,.083333336,.35714287,.10000001
27,2,12.613889,2,.5,7,20,-5.9761033,322.41177,-.083333328,-.19999999,19.004524,,,,,
28,0,8.2166662,2,.38461539,5,18,3.5053711,,0,0,-10.526314,.035714287,.10714286,-.055555556,.13095242,.25
28,1,8.2166662,2,,,18,3.5053711,,,,,,,,,
28,2,8.2166662,2,.5714286,6,18,3.5053711,250.11111,0,0,-5.8823547,,,,,
29,0,8.416667,1,.5,6,19,-1.551396,218,-.083333336,-.33333334,0,.035714287,0,0,.059523821,.050000001
29,1,8.416667,1,.5,5,19,-1.551396,,,,9.0909119,0,.10714286,.055555556,.047619045,0
29,2,8.416667,1,.5714286,7,19,-1.551396,269.05264,0,0,-17.647057,,,,,
30,0,10.677778,1,.42857143,6,22,-3.7386746,222,-.083333336,-.33329782,0,0,.10714286,0,.1785714,-.050000001
30,1,10.677778,1,.5,6,22,-3.7386746,113,-.083333336,-.33329782,9.0909119,.035714287,0,.027777778,.26190472,.050000001
30,2,10.677778,1,.53846157,7,22,-3.7386746,166,0,0,-5.8823547,,,,,
31,0,10.677778,1,.5,7,23,-8.0896845,271.38461,0,0,9.0909119,.071428575,.17857143,.11111112,.14285713,.16666667
31,1,10.677778,1,.5714286,,23,-8.0896845,255.38461,-.16666667,-.59997439,3.8277512,0,0,.11111112,.09523809,0
31,2,10.677778,1,.5714286,7,23,-8.0896845,96,-.083333336,-.33329782,7.6923065,,,,,
32,0,6.3722224,2,.42857143,4,32,-2.6444013,286,0,0,0,.035714287,.071428575,.1111111,.09523809,-.15497077
32,1,6.3722224,2,.42857143,5,32,-2.6444013,282,0,0,32.057415,.2857143,.071428575,-.055555552,-.035714269,.18266255
32,2,6.3722224,2,.5,6,32,-2.6444013,178.88889,.083333336,.33329782,3.6199036,,,,,
33,0,6.375,2,.35714287,4,26,-5.9145255,241,.41666663,.55555552,-5.2631607,.035714287,0,.1111111,-.11904761,.23947367
33,1,6.375,2,.42857143,4,26,-5.9145255,318,-.083333343,-.14285716,-1.4354019,0,.035714287,-.083333328,.035714269,-.034210533
33,2,6.375,2,.5,6,26,-5.9145255,285.22223,0,0,0,,,,,
34,0,7.3444443,1,.5,5,23,-5.5869241,285,.16666667,.59997439,12.918655,.035714287,.071428575,.05555556,.16666669,-.15000001
34,1,7.3444443,1,.42857143,5,23,-5.5869241,270,.090909094,.33333334,9.0909119,0,.10714286,.16666669,.083333313,0
34,2,7.3444443,1,.4642857,6,23,-5.5869241,116.64706,0,0,-5.8823547,,,,,
35,0,6.3916669,1,.35714287,5,5,-49.277184,230.84616,-.015151516,-.043478262,12.918655,.071428575,.071428575,.055555552,-.047619045,.1
35,1,6.3916669,1,,,5,-49.277184,,,,,,,,,
35,2,6.3916669,1,,,5,-49.277184,,,,,,,,,
36,0,6.6305556,2,.42857143,4,16,-11.854798,293.07693,-.16666667,-.59997439,11.483253,0,.035714287,.027777776,.21428573,0
36,1,6.6305556,2,,,16,-11.854798,,,,,,,,,
36,2,6.6305556,2,,,16,-11.854798,,,,,,,,,
37,0,6.2805557,1,.35714287,,6,2.5237293,335.15384,-.45454547,-.83204877,,0,0,0,.09523809,.050000001
37,1,6.2805557,1,,,6,2.5237293,,,,,,,,,
37,2,6.2805557,1,,,6,2.5237293,,,,,,,,,
38,0,8.5027781,2,.42857143,4,16,-12.099612,254,-.5,-.84614247,0,.035714287,.035714287,.027777778,.11904758,.050000001
38,1,8.5027781,2,.35714287,4,16,-12.099612,294,.16666667,.33333334,-10.526314,.035714287,.035714287,.055555556,.40476194,.052631579
38,2,8.5027781,2,.5714286,7,16,-12.099612,264.88889,.083333336,.33329782,0,,,,,
39,0,10.544444,2,.42857143,5,4,-67.072289,367,.15909091,.46666667,-10.526314,0,.14285715,.1388889,.33333334,0
39,1,10.544444,2,.42857143,6,4,-67.072289,277,.33333334,.777762,26.794258,.071428575,.071428575,-.11111111,.15476191,-.1
39,2,10.544444,2,.42857143,5,4,-67.072289,211.11765,.5,.84614247,9.5022583,,,,,
40,0,9.6166668,1,.42857143,4,12,-7.5672612,254.84616,0,0,-5.2631607,.035714287,.071428575,.05555556,.33333331,.10000001
40,1,9.6166668,1,.5,5,12,-7.5672612,167.61539,.083333336,.33329782,0,.071428575,.071428575,0,.047619045,0
40,2,9.6166668,1,.5,6,12,-7.5672612,118.76471,0,0,7.6923065,,,,,
41,0,6.1916666,1,.42857143,,10,-12.636613,241,-.083333336,-.33329782,0,.035714287,0,.027777776,.011904716,0
41,1,6.1916666,1,.42857143,4,10,-12.636613,264,0,0,9.0909119,.035714287,.17857143,.19444445,.083333313,0
